Model,Accuracy,Bal Acc.,Time
Benchmark,60.2,61.23422409526312,3.827239646911621
Feature Engineering,81.52307692307691,80.85133077682278,3.228405475616455
Hyper parameter tuning,83.0576923076923,81.88860065886728,2.1061577796936035
