iter	Passed	Remaining
399	37174	55761
400	37248	55640
401	37344	55552
402	37415	55427
403	37516	55345
404	37602	55243
405	37672	55117
406	37754	55008
407	37830	54891
408	37913	54784
409	37983	54659
410	38070	54557
411	38161	54462
412	38241	54352
413	38317	54237
414	38410	54144
415	38505	54056
416	38591	53954
417	38672	53845
418	38759	53745
419	38840	53636
420	38912	53516
421	38981	53391
422	39063	53284
423	39154	53191
424	39234	53081
425	39316	52975
426	39398	52869
427	39480	52763
428	39570	52669
429	39669	52585
430	39766	52498
431	39849	52394
432	39941	52302
433	40038	52216
434	40140	52135
435	40218	52025
436	40324	51951
437	40423	51867
438	40523	51785
439	40632	51714
440	40747	51649
441	40823	51537
442	40903	51429
443	40984	51322
444	41075	51229
445	41153	51119
446	41226	51003
447	41323	50916
448	41402	50808
449	41478	50696
450	41578	50613
451	41647	50493
452	41732	50392
453	41802	50273
454	41894	50181
455	41973	50073
456	42071	49989
457	42140	49868
458	42206	49747
459	42279	49632
460	42360	49527
461	42438	49420
462	42521	49317
463	42599	49210
464	42686	49112
465	42764	49005
466	42850	48906
467	42948	48821
468	43059	48751
469	43163	48673
470	43252	48579
471	43331	48472
472	43405	48361
473	43488	48259
474	43564	48150
475	43631	48031
476	43719	47935
477	43797	47829
478	43879	47726
479	43959	47622
480	44051	47532
481	44130	47426
482	44213	47325
483	44431	47369
484	44708	47474
485	44938	47527
486	45069	47475
487	45188	47411
488	45296	47334
489	45396	47249
490	45505	47173
491	45582	47064
492	45678	46976
493	45755	46867
494	45845	46772
495	45921	46662
496	46004	46560
497	46096	46466
498	46181	46366
499	46275	46275
500	46371	46186
501	46466	46096
502	46543	45988
503	46641	45901
504	46733	45808
505	46818	45707
506	46896	45601
507	46969	45490
508	47066	45402
509	47157	45307
510	47252	45217
511	47333	45114
512	47439	45034
513	47517	44928
514	47604	44831
515	47699	44741
516	47794	44651
517	47879	44551
518	47946	44436
519	48036	44341
520	48108	44230
521	48185	44123
522	48265	44020
523	48336	43908
524	48411	43801
525	48488	43694
526	48558	43583
527	48631	43473
528	48727	43384
529	48851	43321
530	48944	43229
531	49043	43143
532	49177	43088
533	49258	42986
534	49356	42898
535	49442	42800
536	49523	42698
537	49630	42619
538	49714	42520
539	49802	42424
540	49874	42314
541	49940	42200
542	50023	42100
543	50123	42015
544	50221	41927
545	50312	41834
546	50395	41735
547	50462	41622
548	50540	41518
549	50636	41430
550	50725	41335
551	50800	41229
552	50884	41130
553	50980	41041
554	51064	40943
555	51138	40837
556	51219	40736
557	51306	40640
558	51390	40542
559	51473	40443
560	51552	40341
561	51633	40241
562	51714	40140
563	51786	40033
564	51862	39929
565	51945	39830
566	52013	39721
567	52091	39618
568	52167	39515
569	52236	39406
570	52310	39301
571	52387	39198
572	52480	39108
573	52553	39003
574	52623	38895
575	52715	38804
576	52797	38706
577	52883	38610
578	52990	38530
579	53090	38444
580	53199	38365
581	53302	38282
582	53392	38189
583	53499	38108
584	53584	38012
585	53676	37921
586	53780	37838
587	53879	37752
588	53991	37674
589	54087	37586
590	54176	37492
591	54255	37392
592	54365	37313
593	54442	37211
594	54542	37125
595	54635	37034
596	54729	36944
597	54802	36840
598	54883	36741
599	54973	36649
600	55058	36552
601	55132	36449
